,收益率
2020-11-17,-0.006536892961549363
2020-11-18,-0.005771875963655826
2020-11-19,-0.006750952221965501
2020-11-20,-0.007620785824121293
2020-11-21,-0.008284409065908981
2020-11-22,-0.009085019262577097
2020-11-23,-0.011051401958023082
2020-11-24,-0.010592773408192514
2020-11-25,-0.010616009331254573
2020-11-26,-0.011226749703687422
2020-11-27,-0.013249877642903031
2020-11-28,-0.013729291681422787
2020-11-29,-0.014186756884627411
2020-11-30,-0.016414461796439576
2020-12-01,-0.015214345179141407
2020-12-02,-0.015572027922717389
2020-12-03,-0.016801959360387975
2020-12-04,-0.01556483951488245
2020-12-05,-0.01668282828222248
2020-12-06,-0.017114867323609846
2020-12-07,-0.017250328541597727
2020-12-08,-0.015443967382370062
2020-12-09,-0.01186938125974471
2020-12-10,-0.011841294564516948
2020-12-11,-0.010777633667455225
2020-12-12,-0.009485193735852727
2020-12-13,-0.007308190733609293
2020-12-14,-0.00690369217577643
2020-12-15,-0.002914859939083944
2020-12-16,7.047345696829745e-05
2020-12-17,0.0019794143116576247
2020-12-18,0.004296677729559765
2020-12-19,0.006622752543253325
2020-12-20,0.008987809213520078
2020-12-21,0.010159947272103257
2020-12-22,0.01367470864783802
2020-12-23,0.01709416753964892
2020-12-24,0.018305408064866024
2020-12-25,0.01967814643636839
2020-12-26,0.02099453338416971
2020-12-27,0.023252639197551366
2020-12-28,0.021651616705018452
2020-12-29,0.024437124633103546
2020-12-30,0.025228680181113818
2020-12-31,0.024547271402741492
2021-01-01,0.023928620142049852
2021-01-02,0.023316818734189684
2021-01-03,0.023111598059086292
2021-01-04,0.02081233365717564
2021-01-05,0.019897767362307448
2021-01-06,0.019214256016645805
2021-01-07,0.016101882755398856
2021-01-08,0.013469100186321324
2021-01-09,0.011120766396878666
2021-01-10,0.008390456746589394
2021-01-11,0.0055156259970428135
2021-01-12,0.003722618869980955
2021-01-13,0.0023659227979766426
2021-01-14,-0.00043345897001757696
2021-01-15,-0.0023729003175643635
2021-01-16,-0.00328417503138274
2021-01-17,-0.005955383499767664
2021-01-18,-0.00870339014835866
2021-01-19,-0.008812690439746963
2021-01-20,-0.008283247114734932
2021-01-21,-0.008923110608918471
2021-01-22,-0.009733308649298536
2021-01-23,-0.009521290013230144
2021-01-24,-0.008483287883677951
2021-01-25,-0.00928651745861854
2021-01-26,-0.007343626502593177
2021-01-27,-0.005200011060768695
2021-01-28,-0.004316781733630836
2021-01-29,-0.003141610275706857
2021-01-30,-0.0012842178748538413
2021-01-31,0.0014012835915966954
2021-02-01,0.002300833807885037
2021-02-02,0.0044523011534889885
2021-02-03,0.00816758935852981
2021-02-04,0.00824877656213525
2021-02-05,0.009416124727133225
2021-02-06,0.01049629642931048
2021-02-07,0.011322223063784283
2021-02-08,0.011168062155925562
2021-02-09,0.011716309698267544
2021-02-10,0.013699321874527621
2021-02-11,0.011094156499556487
2021-02-12,0.00961332968181676
2021-02-13,0.00793041110469091
2021-02-14,0.00808318928869798
2021-02-15,0.004396815313189899
2021-02-16,0.0034887516494259015
2021-02-17,0.003253810782592276
2021-02-18,4.635439258205471e-05
2021-02-19,-0.0029331251484834195
2021-02-20,-0.004711805759248624
2021-02-21,-0.00697324668550646
2021-02-22,-0.009820250592570202
2021-02-23,-0.010640715848346288
2021-02-24,-0.010456588776532737
2021-02-25,-0.01200121844006006
2021-02-26,-0.013654500896070688
2021-02-27,-0.013823670666478284
2021-02-28,-0.013986186985885923
2021-03-01,-0.014025829815075642
2021-03-02,-0.012602102670131938
2021-03-03,-0.01064006027708295
2021-03-04,-0.008981794412999514
2021-03-05,-0.008304533156420492
2021-03-06,-0.006901830626718294
2021-03-07,-0.004129195466096078
2021-03-08,-0.003148058037712791
2021-03-09,-0.0007760972448277584
2021-03-10,0.0036583090672084617
2021-03-11,0.0048425778009450055
2021-03-12,0.008112299738286723
2021-03-13,0.010468599311260016
2021-03-14,0.012386488598100693
2021-03-15,0.01330647953227419
2021-03-16,0.016841840088277875
2021-03-17,0.02003560338229267
2021-03-18,0.02183954192441237
2021-03-19,0.021889155697837264
2021-03-20,0.022702151254166105
2021-03-21,0.023961821239042485
2021-03-22,0.02350940529728003
2021-03-23,0.025125536922890407
2021-03-24,0.026720309548703004
2021-03-25,0.025847387050696124
2021-03-26,0.025044903836591338
2021-03-27,0.02532067713538216
2021-03-28,0.024372713751919756
2021-03-29,0.022808270068114807
2021-03-30,0.023317064179108733
2021-03-31,0.02413249256709544
2021-04-01,0.02293981293973413
2021-04-02,0.0214351209480288
2021-04-03,0.020526843394729162
2021-04-04,0.019762084737602926
2021-04-05,0.017905597492569602
2021-04-06,0.017809741791026068
2021-04-07,0.018175044353837922
2021-04-08,0.01703546701404366
2021-04-09,0.015560666899609948
2021-04-10,0.014703059302721547
2021-04-11,0.014402681713607694
2021-04-12,0.012305306606358524
2021-04-13,0.013087565488653636
2021-04-14,0.013308955014739329
2021-04-15,0.012691923300414614
2021-04-16,0.011092712737165595
2021-04-17,0.010538980618445687
2021-04-18,0.009589072420834106
2021-04-19,0.007712344258419718
2021-04-20,0.008177398341770493
2021-04-21,0.007931844688278098
2021-04-22,0.00688822550961613
2021-04-23,0.006061931250770753
2021-04-24,0.003567846856762149
2021-04-25,0.0029256798887900186
2021-04-26,0.001229730942460678
2021-04-27,0.0009979571257098488
2021-04-28,0.0006450231725508002
2021-04-29,-0.00022068132611712492
2021-04-30,-0.002447966542942257
2021-05-01,-0.0032887026584450057
2021-05-02,-0.004025333690685061
2021-05-03,-0.004150581639468872
2021-05-04,-0.004024141637264116
2021-05-05,-0.004834985265285776
2021-05-06,-0.004319514119328004
2021-05-07,-0.005324098430360814
2021-05-08,-0.004336201763916851
2021-05-09,-0.004427429549926889
2021-05-10,-0.005148324764940986
2021-05-11,-0.0035962838892621947
2021-05-12,-0.0016353652633082731
2021-05-13,-0.0010011959533665368
2021-05-14,-0.00031151245472574063
2021-05-15,0.0010189510106738853
2021-05-16,0.0023798220733504604
2021-05-17,0.002652772138718347
2021-05-18,0.004856842323319073
2021-05-19,0.007023160377752025
2021-05-20,0.00786737431226197
2021-05-21,0.008740695115906706
2021-05-22,0.009834292121099009
2021-05-23,0.010469951161878868
2021-05-24,0.010310463833443662
2021-05-25,0.011828851925901298
2021-05-26,0.013034280180180349
2021-05-27,0.012777473552017147
2021-05-28,0.012099989535052454
2021-05-29,0.01189151467446099
2021-05-30,0.011625838618498353
2021-05-31,0.009309241684792142
2021-06-01,0.009924328866013835
2021-06-02,0.009935703810107072
2021-06-03,0.008209550646686348
2021-06-04,0.006895278195167761
2021-06-05,0.006297513256246195
2021-06-06,0.005040462722733034
2021-06-07,0.0027648577240341685
2021-06-08,0.0030584942049743636
2021-06-09,0.002443540819353862
2021-06-10,0.001524551521991891
2021-06-11,0.0009952033614936129
2021-06-12,0.00048508403661592605
2021-06-13,2.644488530160266e-05
2021-06-14,-0.001470935661099559
2021-06-15,-2.0200603029591844e-05
2021-06-16,0.0011734533541372086
2021-06-17,0.001106084759501472
2021-06-18,0.0013804648056943251
2021-06-19,0.001536513624211649
2021-06-20,0.002624972032730846
2021-06-21,0.0023894714631596237
2021-06-22,0.004248173201951824
2021-06-23,0.006164712527242272
2021-06-24,0.0067266992916652415
2021-06-25,0.007411348562016005
2021-06-26,0.007947750949246728
2021-06-27,0.00861823292576255
2021-06-28,0.007853767693112508
2021-06-29,0.008920193066249712
2021-06-30,0.010086415346843932
2021-07-01,0.010156858799585253
2021-07-02,0.010235602403325314
2021-07-03,0.009522136257625326
2021-07-04,0.009343669264234982
2021-07-05,0.007828324594459582
2021-07-06,0.007888022797535218
2021-07-07,0.008345783147870153
2021-07-08,0.007089285130204843
2021-07-09,0.00586451108379876
2021-07-10,0.0047162267143805855
2021-07-11,0.0036689455785095084
2021-07-12,0.0014320040515999756
2021-07-13,0.0010465266370314416
2021-07-14,0.0008092433622555481
2021-07-15,-0.001046117343475173
2021-07-16,-0.002905097352023935
2021-07-17,-0.004133015685368423
2021-07-18,-0.005535738228930478
2021-07-19,-0.0077957502771584634
2021-07-20,-0.007315081268410153
2021-07-21,-0.007122314009864233
2021-07-22,-0.007638959104902868
2021-07-23,-0.008482711067024352
2021-07-24,-0.008336558166436173
2021-07-25,-0.007847018611252919
2021-07-26,-0.008632716164196497
2021-07-27,-0.006877010731716707
2021-07-28,-0.004271317261904443
2021-07-29,-0.004136573124166771
2021-07-30,-0.002683865383985081
2021-07-31,-0.001560170291441589
2021-08-01,-0.0007618057451300143
2021-08-02,-0.0005919600569107622
2021-08-03,0.003403144347153697
2021-08-04,0.004114640999222048
2021-08-05,0.006641395067714275
2021-08-06,0.007687376864867592
2021-08-07,0.007479758839682435
2021-08-08,0.008553458693619986
2021-08-09,0.009437496909725087
2021-08-10,0.010400413999337063
2021-08-11,0.011153246423395862
2021-08-12,0.011684697381864078
2021-08-13,0.012180094009361488
2021-08-14,0.012542585347923078
2021-08-15,0.010784859599733038
2021-08-16,0.009874151417177391
2021-08-17,0.010737811199878544
2021-08-18,0.010796041536368857
2021-08-19,0.010269677775641571
2021-08-20,0.00839521717697689
2021-08-21,0.007297680001714239
2021-08-22,0.008366887582128082
2021-08-23,0.005629129412412077
2021-08-24,0.006556384138429067
2021-08-25,0.00592165734814041
2021-08-26,0.0038062632533936965
2021-08-27,0.0035286558576596793
2021-08-28,0.0019278006081486212
2021-08-29,0.0009064868165648566
2021-08-30,5.9897935622113116e-05
2021-08-31,0.0016133232492524896
2021-09-01,0.001143367498512991
2021-09-02,0.0003644742419972477
2021-09-03,-0.00042914024151232826
2021-09-04,-0.0004126121389490942
2021-09-05,-0.0002816977163633154
2021-09-06,-0.001736259307508025
2021-09-07,-0.000967295271345067
2021-09-08,0.0001196504201169318
2021-09-09,-9.858420828059027e-05
2021-09-10,-0.00048152719986932247
2021-09-11,-0.0006223857843226218
2021-09-12,-0.00035983782548777894
2021-09-13,-0.0013485710518708533
2021-09-14,-0.00034109393681726
2021-09-15,0.0017020476075802985
2021-09-16,0.0012735222342300965
2021-09-17,0.0014404368152982525
2021-09-18,0.00267569700950979
2021-09-19,0.0023420457991599948
2021-09-20,0.0019376416800993756
2021-09-21,0.003536878762874603
2021-09-22,0.005358783953142538
2021-09-23,0.0056329822580685465
2021-09-24,0.006158681816595525
2021-09-25,0.006747151635960261
2021-09-26,0.006599732593864414
2021-09-27,0.006430529398518764
2021-09-28,0.007120425322381252
2021-09-29,0.008711903152865423
2021-09-30,0.008788072623225684
2021-10-01,0.009032931493137471
2021-10-02,0.008692892543224636
2021-10-03,0.009420825453888712
2021-10-04,0.00732702865955929
2021-10-05,0.009561971197609025
2021-10-06,0.01153891619312619
2021-10-07,0.011596319259900865
2021-10-08,0.010648908692545181
2021-10-09,0.011622778776757478
2021-10-10,0.011718215873788027
2021-10-11,0.009948107702851232
2021-10-12,0.011824368711809105
2021-10-13,0.012151526360754613
2021-10-14,0.012171900548142295
2021-10-15,0.012605096440661117
2021-10-16,0.012210808523156425
2021-10-17,0.01304269741285266
2021-10-18,0.010808175694044426
2021-10-19,0.012053460852045238
2021-10-20,0.0136981822660143
2021-10-21,0.013471844253808193
2021-10-22,0.012435042180385636
2021-10-23,0.013119705711164418
2021-10-24,0.013554988751996658
2021-10-25,0.011063923724234362
2021-10-26,0.011383431807064531
2021-10-27,0.013197378166268547
2021-10-28,0.013303671329656359
2021-10-29,0.013218505990759978
2021-10-30,0.01367795710199123
2021-10-31,0.013584476122050503
2021-11-01,0.013374398093540943
2021-11-02,0.01408742284039079
2021-11-03,0.01568921750860922
2021-11-04,0.01596603227359348
2021-11-05,0.015189418590402648
2021-11-06,0.015852171770311816
2021-11-07,0.015833645020065054
2021-11-08,0.014995487815023047
2021-11-09,0.01585575828283606
2021-11-10,0.01688625908230102
2021-11-11,0.016528969068737263
2021-11-12,0.015534396868085026
2021-11-13,0.015178976334227552
2021-11-14,0.014439420470443425
2021-11-15,0.012430542108130159
2021-11-16,0.011987945758773353
2021-11-17,0.012240106146513642
2021-11-18,0.010939872353581372
2021-11-19,0.008927808319062792
2021-11-20,0.007715882756360995
2021-11-21,0.00618382245866413
2021-11-22,0.0033777941912261004
2021-11-23,0.0032634288361784256
2021-11-24,0.002984114652474974
2021-11-25,0.0018444251559003957
2021-11-26,0.0003017552477575094
2021-11-27,-0.0009599348603557775
2021-11-28,-0.0014400534564397622
2021-11-29,-0.00333841679109177
2021-11-30,-0.0026208201851884555
2021-12-01,-0.001398865313523209
2021-12-02,-0.0014484244237092374
2021-12-03,-0.00143590736915083
2021-12-04,-0.0006778527019537064
2021-12-05,7.879646178783557e-05
2021-12-06,0.0002410306375544318
2021-12-07,0.0024161553444451552
2021-12-08,0.005466325367043853
2021-12-09,0.006948380394584143
2021-12-10,0.008348017010822897
2021-12-11,0.010465387525415284
2021-12-12,0.01332948743632707
2021-12-13,0.014424667227014866
2021-12-14,0.018186933377486402
2021-12-15,0.022144517876078653
2021-12-16,0.024968250164954672
2021-12-17,0.02753709292932554
2021-12-18,0.030500487769481586
2021-12-19,0.033631696092960954
2021-12-20,0.03502964904355739
2021-12-21,0.03871314698932127
2021-12-22,0.042551397805992375
2021-12-23,0.04503265875428194
2021-12-24,0.04632253047466186
2021-12-25,0.04825660718229156
2021-12-26,0.04903321127510602
2021-12-27,0.04840759075428269
2021-12-28,0.05000626979627532
2021-12-29,0.051274995200073926
2021-12-30,0.050990793396325645
2021-12-31,0.05022619036751568
2022-01-01,0.04888261008686944
2022-01-02,0.047645518504968294
2022-01-03,0.04465175943538728
2022-01-04,0.04363576623430422
2022-01-05,0.04225508025758701
2022-01-06,0.03974490154275282
2022-01-07,0.03710562903744267
2022-01-08,0.034481163304960455
2022-01-09,0.03166618197820115
2022-01-10,0.027439472009760827
2022-01-11,0.025366174784578262
2022-01-12,0.02397160708617416
2022-01-13,0.021292074393732752
2022-01-14,0.0183268971195058
2022-01-15,0.01566569428543552
2022-01-16,0.013308482068366257
2022-01-17,0.010538726343950283
2022-01-18,0.009461934477433672
2022-01-19,0.009571142353061222
2022-01-20,0.008346553111950206
2022-01-21,0.006676702639946978
2022-01-22,0.0064938122040203074
2022-01-23,0.005943766378207159
2022-01-24,0.0045683339675345255
2022-01-25,0.005934653602416926
2022-01-26,0.007332994228906437
2022-01-27,0.008176124406675402
2022-01-28,0.008213052345238402
2022-01-29,0.009215620675931586
2022-01-30,0.010280563992224916
2022-01-31,0.010474889664601084
2022-02-01,0.012454197806739231
2022-02-02,0.01450413688380686
2022-02-03,0.014547076613159878
2022-02-04,0.0147424415997147
2022-02-05,0.014651992109654417
2022-02-06,0.014620781003835218
2022-02-07,0.013104634377753928
2022-02-08,0.013495101105111524
2022-02-09,0.012843976610064377
2022-02-10,0.0120295806288608
2022-02-11,0.010240574344618076
2022-02-12,0.008095394769055053
2022-02-13,0.0060764751950738586
2022-02-14,0.002477672570387462
2022-02-15,0.000539725284088754
2022-02-16,-0.0005521900314027086
2022-02-17,-0.0033388878815189113
2022-02-18,-0.0065151858849304784
2022-02-19,-0.009340251581647302
2022-02-20,-0.011963274872579699
2022-02-21,-0.015449727833686186
2022-02-22,-0.017145772528120353
2022-02-23,-0.018113976375353752
2022-02-24,-0.0197185561694549
2022-02-25,-0.021590402495232558
2022-02-26,-0.02287329870440301
2022-02-27,-0.023434086257650272
2022-02-28,-0.025049080700927435
2022-03-01,-0.024799474595753625
2022-03-02,-0.02295818213304481
2022-03-03,-0.02246787980036019
2022-03-04,-0.021956096015557
2022-03-05,-0.02066639030313321
2022-03-06,-0.018997782433283764
2022-03-07,-0.018555447018953057
2022-03-08,-0.015273507383347986
2022-03-09,-0.011388736482894608
2022-03-10,-0.00880891533532192
2022-03-11,-0.006557145414363658
2022-03-12,-0.003816596512886722
2022-03-13,-0.00079003641216695
2022-03-14,0.0007871405323461086
2022-03-15,0.004296201008510961
2022-03-16,0.008613739207524911
2022-03-17,0.01128468272513796
2022-03-18,0.012776451960505588
2022-03-19,0.014307387287294054
2022-03-20,0.015553661074244994
2022-03-21,0.015145892173053156
2022-03-22,0.01606480667215449
2022-03-23,0.017704088146383933
2022-03-24,0.017951014014823897
2022-03-25,0.016306089251109112
2022-03-26,0.016083411994235207
2022-03-27,0.015228046625808202
2022-03-28,0.013014589951818202
2022-03-29,0.011745029040709377
2022-03-30,0.012094361845100094
2022-03-31,0.010364048841585498
2022-04-01,0.008116134577789723
2022-04-02,0.006832486643088656
2022-04-03,0.00506820880756826
2022-04-04,0.0018921421944929912
2022-04-05,0.0009641099286780198
2022-04-06,0.0006938676743888158
2022-04-07,9.289876228999656e-05
2022-04-08,-0.0019503491030999575
2022-04-09,-0.0029242656612248124
2022-04-10,-0.003924783798638971
2022-04-11,-0.005809250781211425
2022-04-12,-0.005452023829520979
2022-04-13,-0.004588327930784741
2022-04-14,-0.004819974200518539
2022-04-15,-0.006140321044196182
2022-04-16,-0.006356343103730049
2022-04-17,-0.006274777606255106
2022-04-18,-0.007403397642313435
2022-04-19,-0.007975139867597014
2022-04-20,-0.006623523213353855
2022-04-21,-0.006564492999708635
2022-04-22,-0.007521906403551199
2022-04-23,-0.008001955288847666
2022-04-24,-0.007621358371666301
2022-04-25,-0.00985035995182563
2022-04-26,-0.00988229252651382
2022-04-27,-0.008944603821043357
2022-04-28,-0.00844005842866287
2022-04-29,-0.010517320939524795
2022-04-30,-0.010906475006513549
2022-05-01,-0.011650029333570318
2022-05-02,-0.0140977574331677
2022-05-03,-0.014469709916484105
2022-05-04,-0.014439973166744953
2022-05-05,-0.014581856174749408
2022-05-06,-0.015256161431267503
2022-05-07,-0.015481704370984823
2022-05-08,-0.016060841774948997
2022-05-09,-0.01713652382785314
2022-05-10,-0.015964297423020427
2022-05-11,-0.013754996688328677
2022-05-12,-0.013203650788493055
2022-05-13,-0.012710695695929516
2022-05-14,-0.011837632360924994
2022-05-15,-0.011315108505004702
2022-05-16,-0.011347751449179507
2022-05-17,-0.010225792105672248
2022-05-18,-0.0074963216078240925
2022-05-19,-0.006186364355796786
2022-05-20,-0.0058372971340548
